keyword,Title,Reviews,Review_points,Address,Contry,City,State,Website,Phone,Open_Time,Page_URL,Google_id,Place_id,Additional_info,Latitude,Longitude,Category,Main_image,Image_1,Image_2,Image_3,Description,Price_Range,Current_Status,Plus_code_URL,Plus_code,Delivery,Open_Time_Monday,Open_Time_Tuesday,Open_Time_Wednesday,Open_Time_Thursday,Open_Time_Friday,Open_Time_Saturday,Open_Time_Sunday,Popular_times_0,Popular_times_1,Popular_times_2,Popular_times_3,Popular_times_4,Popular_times_5,Popular_times_6
Seattle - guitar repair,Todd Guitars and Repair,129,4.9,"5024 35th Ave SW, Seattle, WA 98126",null,Seattle,Washington,http://www.toddguitars.com/,(206) 696-0666,"Tuesday 10 AM–7 PM  2023-09-05
Wednesday 10 AM–7 PM  2023-09-06
Thursday 10 AM–7 PM  2023-09-07
Friday 11 AM–7 PM  2023-09-08
Saturday 10 AM–4 PM  2023-09-09
Sunday Closed  2023-09-10
Monday Closed  2023-09-11
 ",https://www.google.com/maps/place/Todd+Guitars+and+Repair/data=!4m5!3m4!1s0x549040e31b59e4e9:0xed1cbb50a1c54433!8m2!3d47.5566126!4d-122.3758653?authuser=0&hl=en&rclk=1,0x549040e31b59e4e9:0xed1cbb50a1c54433,ChIJ6eRZG-NAkFQRM0TFoVC7HO0,,47.5566126,-122.3758653,Musical instrument repair shop,https://lh5.googleusercontent.com/p/AF1QipPwkFg4zvTRH0uF8i6VsCruV5k21XmiWKig3bQj=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipPbfqdUwLzNH1-K7weFh7ibS19VJW8V9_tXwjA5=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPW1kbZ5QBj5Y511d71vVmfMQG6hJYkXuYaB5jS=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/TB5deJxVSN6y885Ovu3i6A=w1024-h960-p-k-no,null,None,,"https://plus.codes/HJ4F+JM Seattle, Washington","HJ4F+JM Seattle, Washington",null,Monday Closed  2023-09-11,Tuesday 10 AM–7 PM  2023-09-05,Wednesday 10 AM–7 PM  2023-09-06,Thursday 10 AM–7 PM  2023-09-07,Friday 11 AM–7 PM  2023-09-08,Saturday 10 AM–4 PM  2023-09-09,Sunday Closed  2023-09-10,,,,,,,
Seattle - guitar repair,"Seattle Sound Repair, By Appointment",54,4.9,"939 NE Boat St, Seattle, WA 98105",null,Seattle,Washington,http://www.seattlesoundrepair.com/,(206) 659-9023, ,"https://www.google.com/maps/place/Seattle+Sound+Repair,+By+Appointment/data=!4m5!3m4!1s0x54901455b3450f9b:0xa9961f78bca4f694!8m2!3d47.6536508!4d-122.3183712?authuser=0&hl=en&rclk=1",0x54901455b3450f9b:0xa9961f78bca4f694,ChIJmw9Fs1UUkFQRlPakvHgflqk,,47.6536508,-122.3183712,Musical instrument repair shop,https://lh5.googleusercontent.com/p/AF1QipML5maCLD_xfl27Q6RgPkRLObTMthZuTKRahP8z=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipN6Pm2kpZT2A-IKXoXG3X-Sl2AzxbnMzfkTD3I9=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipN6Pm2kpZT2A-IKXoXG3X-Sl2AzxbnMzfkTD3I9=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/L44iUsadgE693JDOYT0vlA=w1024-h960-p-k-no,null,None,,"https://plus.codes/MM3J+FM Seattle, Washington","MM3J+FM Seattle, Washington",null,,,,,,,,,,,,,,
Seattle - guitar repair,Mike & Mike's Guitar Bar,147,4.8,"117 N 36th St, Seattle, WA 98103",null,Seattle,Washington,http://mmguitarbar.com/,(206) 399-8518,"Tuesday 10:30 AM–6:30 PM  2023-09-05
Wednesday 10:30 AM–6:30 PM  2023-09-06
Thursday 10:30 AM–6:30 PM  2023-09-07
Friday 10:30 AM–6:30 PM  2023-09-08
Saturday 10:30 AM–6:30 PM  2023-09-09
Sunday Closed  2023-09-10
Monday Closed  2023-09-11
 ",https://www.google.com/maps/place/Mike+&+Mike's+Guitar+Bar/data=!4m5!3m4!1s0x5490167fccc05c8b:0x29d5a78606a44de0!8m2!3d47.6525452!4d-122.3569951?authuser=0&hl=en&rclk=1,0x5490167fccc05c8b:0x29d5a78606a44de0,ChIJi1zAzH8WkFQR4E2kBoan1Sk,,47.6525452,-122.3569951,Guitar store,https://lh5.googleusercontent.com/p/AF1QipPE9oJxrISJ7t1zoHGXNvEA93ZVOV9qfDBQZqtj=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipMWAbmAUz6dbq72dc5qYhiwZ0NnF6iWy3kEMx0W=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOOPI1bc7rnwUlDbaF0gERRTEwDXmq0Af4_oLsL=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPlz1qwMV-17Nz9WLAGsX9MF4pJ4l6-o6eCD9M6=w1024-h960-p-k-no,null,None,,"https://plus.codes/MJ3V+26 Seattle, Washington","MJ3V+26 Seattle, Washington",Online estimates,Monday Closed  2023-09-11,Tuesday 10:30 AM–6:30 PM  2023-09-05,Wednesday 10:30 AM–6:30 PM  2023-09-06,Thursday 10:30 AM–6:30 PM  2023-09-07,Friday 10:30 AM–6:30 PM  2023-09-08,Saturday 10:30 AM–6:30 PM  2023-09-09,Sunday Closed  2023-09-10,,,,,,,
Seattle - guitar repair,Emerald City Guitars,327,4.8,"83 S Washington St, Seattle, WA 98104",null,Seattle,Washington,http://www.emeraldcityguitars.com/,(206) 382-0231,"Tuesday 10 AM–4 PM  2023-09-05
Wednesday 10 AM–4 PM  2023-09-06
Thursday 10 AM–4 PM  2023-09-07
Friday 10 AM–4 PM  2023-09-08
Saturday 10 AM–4 PM  2023-09-09
Sunday Closed  2023-09-10
Monday 10 AM–4 PM  2023-09-11
 ",https://www.google.com/maps/place/Emerald+City+Guitars/data=!4m5!3m4!1s0x54906aa547c787e9:0xc09550823c435a6f!8m2!3d47.6007008!4d-122.3350424?authuser=0&hl=en&rclk=1,0x54906aa547c787e9:0xc09550823c435a6f,ChIJ6YfHR6VqkFQRb1pDPIJQlcA,,47.6007008,-122.3350424,Musical instrument store,https://lh5.googleusercontent.com/p/AF1QipOZL_dJsCC0e-BnEz6IgKF4AgLfyC1-PT1XIEzf=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipMOtScjgfP7anCCw2U8aXuLkyFNMY03rtzBxCgI=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMPubPgQVPuXwPGj5HozMKshtasBhi7e-cGBUVk=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNXInf9RUXWOpOW0R68O_a3UGYBhYofBYFHaTNA=w1024-h960-p-k-no,"Musical instrument store for used & vintage guitars & amps plus consignment, trade-ins & repair.",None,,"https://plus.codes/JM27+7X Seattle, Washington","JM27+7X Seattle, Washington",Delivery,Monday 10 AM–4 PM  2023-09-11,Tuesday 10 AM–4 PM  2023-09-05,Wednesday 10 AM–4 PM  2023-09-06,Thursday 10 AM–4 PM  2023-09-07,Friday 10 AM–4 PM  2023-09-08,Saturday 10 AM–4 PM  2023-09-09,Sunday Closed  2023-09-10,,,,,,,
Seattle - guitar repair,Thunder Road Guitars,152,4.8,"6400 California Ave SW, Seattle, WA 98136",null,Seattle,Washington,http://www.thunderroadguitars.com/,(206) 678-5248,"Tuesday 10 AM–6 PM  2023-09-05
Wednesday 10 AM–6 PM  2023-09-06
Thursday 10 AM–6 PM  2023-09-07
Friday 10 AM–6 PM  2023-09-08
Saturday 10 AM–6 PM  2023-09-09
Sunday 11 AM–5 PM  2023-09-10
Monday Closed  2023-09-11
 ",https://www.google.com/maps/place/Thunder+Road+Guitars/data=!4m5!3m4!1s0x54904058b081ae07:0xed9eb7c7528f867d!8m2!3d47.5459024!4d-122.3869605?authuser=0&hl=en&rclk=1,0x54904058b081ae07:0xed9eb7c7528f867d,ChIJB66BsFhAkFQRfYaPUse3nu0,,47.5459024,-122.3869605,Guitar store,https://lh5.googleusercontent.com/p/AF1QipMQ7WJ8Hon1k3_7f7UjYlNBxp1FJnQmNTXo1ir3=w408-h272-k-no,https://lh5.googleusercontent.com/p/AF1QipMIPrQW6YujADHGknd22BHmAjaCeg-DEGz_bjof=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipN962QE4rg7wFdLufzVK0vLcB-e2bQWGQTThqpP=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipN7txARWMNUlx5yA5pqgd4zujzo_J9rYY_xOeA6=w1024-h960-p-k-no,"Family-owned buyer/seller of used & vintage guitars, plus amplifiers, effects & appraisals.",None,,"https://plus.codes/GJW7+96 Seattle, Washington","GJW7+96 Seattle, Washington",Online estimates,Monday Closed  2023-09-11,Tuesday 10 AM–6 PM  2023-09-05,Wednesday 10 AM–6 PM  2023-09-06,Thursday 10 AM–6 PM  2023-09-07,Friday 10 AM–6 PM  2023-09-08,Saturday 10 AM–6 PM  2023-09-09,Sunday 11 AM–5 PM  2023-09-10,,,,,,,
Seattle - guitar repair,Dusty Strings Music Store & School,121,4.9,"3406 Fremont Ave N, Seattle, WA 98103",null,Seattle,Washington,http://store.dustystrings.com/,(206) 634-1662,"LGBTQ+ friendlyTuesday 10:30 AM–6 PM  2023-09-05
Wednesday 10:30 AM–6 PM  2023-09-06
Thursday 10:30 AM–6 PM  2023-09-07
Friday 10:30 AM–6 PM  2023-09-08
Saturday 10:30 AM–6 PM  2023-09-09
Sunday Closed  2023-09-10
Monday Closed  2023-09-11
 ",https://www.google.com/maps/place/Dusty+Strings+Music+Store+&+School/data=!4m5!3m4!1s0x5490150728af3449:0x27ab6e8d2dae7aff!8m2!3d47.6497623!4d-122.3496164?authuser=0&hl=en&rclk=1,0x5490150728af3449:0x27ab6e8d2dae7aff,ChIJSTSvKAcVkFQR_3quLY1uqyc,LGBTQ+ friendly,47.6497623,-122.3496164,Musical instrument store,https://lh5.googleusercontent.com/p/AF1QipNIzX4-UQNu1mtxVu23iRP8c5Ds9OFhE8dSQAVW=w408-h272-k-no,https://lh5.googleusercontent.com/p/AF1QipM8T-uWRKdHFA28vzrarUBvywoy2JRiCwUb1CCl=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPMmq9HB-QySzf-3IT7OO0A2qGjd9MNyxMeU4t7=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPuUhmnvqrpbyJcm8nLS43qox8-quxePqYyMGhM=w1024-h960-p-k-no,Specialist in acoustic stringed instruments from guitars to harps plus repair services & lessons.,$$,,"https://plus.codes/JMX2+W5 Seattle, Washington","JMX2+W5 Seattle, Washington",Delivery,Monday Closed  2023-09-11,Tuesday 10:30 AM–6 PM  2023-09-05,Wednesday 10:30 AM–6 PM  2023-09-06,Thursday 10:30 AM–6 PM  2023-09-07,Friday 10:30 AM–6 PM  2023-09-08,Saturday 10:30 AM–6 PM  2023-09-09,Sunday Closed  2023-09-10,,,,,,,
Seattle - guitar repair,Silesia Guitars,51,4.8,"517 NE 165th St, Shoreline, WA 98155",null,Shoreline,Washington,http://www.silesiaguitars.com/,(206) 624-7668,"Identifies as women-ownedTuesday Closed  2023-09-05
Wednesday 11 AM–5:30 PM  2023-09-06
Thursday 1–5:30 PM  2023-09-07
Friday 11 AM–5:30 PM  2023-09-08
Saturday Closed  2023-09-09
Sunday Closed  2023-09-10
Monday Closed  2023-09-11
 ",https://www.google.com/maps/place/Silesia+Guitars/data=!4m5!3m4!1s0x549010fdf79b1053:0x1566c600aa95def7!8m2!3d47.7484104!4d-122.3232365?authuser=0&hl=en&rclk=1,0x549010fdf79b1053:0x1566c600aa95def7,ChIJUxCb9_0QkFQR996VqgDGZhU,Identifies as women-owned,47.7484104,-122.3232365,Musical instrument repair shop,https://lh5.googleusercontent.com/p/AF1QipOrjxVWOffIH_MIbWD4qXotZsW_U0viFMlQdnbv=w408-h272-k-no,https://lh5.googleusercontent.com/p/AF1QipPY1noz_eeev6ED38x8t0jl68gDdZxb-1zTq_Py=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNfi6HnqqEE2Ti_tO7SPO4WJb6vImkkzA-xxNHw=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMWwFNO5x4sL076pZoXf61BOJETlEhMKou7lv_Y=w1024-h960-p-k-no,null,None,,"https://plus.codes/PMXG+9P Shoreline, Washington","PMXG+9P Shoreline, Washington",null,Monday Closed  2023-09-11,Tuesday Closed  2023-09-05,Wednesday 11 AM–5:30 PM  2023-09-06,Thursday 1–5:30 PM  2023-09-07,Friday 11 AM–5:30 PM  2023-09-08,Saturday Closed  2023-09-09,Sunday Closed  2023-09-10,,,,,,,
Seattle - guitar repair,Guitar Center,338,4.4,"6308 Roosevelt Way NE, Seattle, WA 98115",null,Seattle,Washington,https://stores.guitarcenter.com/wa/seattle/230%3Fsource%3D4GOA5AJBA,(206) 517-8173,"Tuesday 11 AM–9 PM  2023-09-05
Wednesday 11 AM–9 PM  2023-09-06
Thursday 11 AM–9 PM  2023-09-07
Friday 11 AM–9 PM  2023-09-08
Saturday 10 AM–9 PM  2023-09-09
Sunday 11 AM–7 PM  2023-09-10
Monday 11 AM–9 PM  2023-09-11
 ",https://www.google.com/maps/place/Guitar+Center/data=!4m5!3m4!1s0x54901548e371550f:0x78d842c92a969a2f!8m2!3d47.6744089!4d-122.3171399?authuser=0&hl=en&rclk=1,0x54901548e371550f:0x78d842c92a969a2f,ChIJD1Vx40gVkFQRL5qWKslC2Hg,,47.6744089,-122.3171399,Music store,https://lh5.googleusercontent.com/p/AF1QipOOnue2Zrjxp26YJEqlFYz3QJyXDJa5K0Kq8EAQ=w408-h544-k-no,https://lh5.googleusercontent.com/p/AF1QipO84620IIwL3uApPfZ2urOUo6bk74F7CagLHPlg=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNLOsgO9_xEiawA8Wum9OqXy0mZrOtQuAj4ccPl=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipObyndiDb49-xSjlAuJVTHqGeWdo3046DOj8XRW=w1024-h960-p-k-no,null,None,,"https://plus.codes/MMFM+Q4 Seattle, Washington","MMFM+Q4 Seattle, Washington",Delivery,Monday 11 AM–9 PM  2023-09-11,Tuesday 11 AM–9 PM  2023-09-05,Wednesday 11 AM–9 PM  2023-09-06,Thursday 11 AM–9 PM  2023-09-07,Friday 11 AM–9 PM  2023-09-08,Saturday 10 AM–9 PM  2023-09-09,Sunday 11 AM–7 PM  2023-09-10,,,,,,,
Seattle - guitar repair,Mike Lull's Guitar Works,150,4.9,"12031 Northup Way #206, Bellevue, WA 98005",null,Bellevue,Washington,http://www.mikelull.com/,(425) 643-8074,"Tuesday 10 AM–3 PM  2023-09-05
Wednesday 10 AM–3 PM  2023-09-06
Thursday 10 AM–3 PM  2023-09-07
Friday 10 AM–3 PM  2023-09-08
Saturday Closed  2023-09-09
Sunday Closed  2023-09-10
Monday 10 AM–3 PM  2023-09-11
 ",https://www.google.com/maps/place/Mike+Lull's+Guitar+Works/data=!4m5!3m4!1s0x54906cfe6d50fc77:0x4b44c740f8ee68f3!8m2!3d47.6302339!4d-122.1797032?authuser=0&hl=en&rclk=1,0x54906cfe6d50fc77:0x4b44c740f8ee68f3,ChIJd_xQbf5skFQR82ju-EDHREs,,47.6302339,-122.1797032,Musical instrument repair shop,https://lh5.googleusercontent.com/p/AF1QipOaor_QXlfqQWIwztJs6kYNpPoImJBb-AfTNuna=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipOie4YRvYonkH0e_0OipOMajyOCCVlYGtFJ87uM=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMZDLX3XBXYnfFiUkSV0gFi77ZciromdycjLx8=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMU-0g-9-qR6WmCof2oOZ5c2wlI2NoF7p4gCvBw=w1024-h960-p-k-no,"Store specializing in custom-built, high-end guitars & basses, plus repair services.",None,,"https://plus.codes/JRJC+34 Bellevue, Washington","JRJC+34 Bellevue, Washington",Wheelchair accessible parking lot,Monday 10 AM–3 PM  2023-09-11,Tuesday 10 AM–3 PM  2023-09-05,Wednesday 10 AM–3 PM  2023-09-06,Thursday 10 AM–3 PM  2023-09-07,Friday 10 AM–3 PM  2023-09-08,Saturday Closed  2023-09-09,Sunday Closed  2023-09-10,,,,,,,
Seattle - guitar repair,American Music,361,4.7,"4450 Fremont Ave N, Seattle, WA 98103",null,Seattle,Washington,http://www.americanmusic.com/,(206) 633-1774,"LGBTQ+ friendlyTuesday 11 AM–6 PM  2023-09-05
Wednesday 11 AM–6 PM  2023-09-06
Thursday 11 AM–6 PM  2023-09-07
Friday 11 AM–6 PM  2023-09-08
Saturday 12–5 PM  2023-09-09
Sunday Closed  2023-09-10
Monday Closed  2023-09-11
 ",https://www.google.com/maps/place/American+Music/data=!4m5!3m4!1s0x54901452e51ef39d:0x1b2a6a157bae8782!8m2!3d47.6610478!4d-122.3494604?authuser=0&hl=en&rclk=1,0x54901452e51ef39d:0x1b2a6a157bae8782,ChIJnfMe5VIUkFQRgoeuexVqKhs,LGBTQ+ friendly,47.6610478,-122.3494604,Musical instrument store,https://lh5.googleusercontent.com/p/AF1QipMxMdbVZSqWQEW2XYAz0do5mkoP7YofL44W3z8=w408-h272-k-no,https://lh5.googleusercontent.com/p/AF1QipOa4xRr3LQd_PbQfrReKFZaZY8uFlMDder0L4Q=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMxMdbVZSqWQEW2XYAz0do5mkoP7YofL44W3z8=w1024-h960-p-k-no,https://lh5.googleusercontent.com/p/AF1QipM5xtNclZYOs9iFeRYN7Bj26oX2m7TBHTHaOAE=w1024-h960-p-k-no,"Source for guitars, keyboards & sound systems, both serving & staffed by professional musicians.",None,,"https://plus.codes/MM62+C6 Seattle, Washington","MM62+C6 Seattle, Washington",Delivery,Monday Closed  2023-09-11,Tuesday 11 AM–6 PM  2023-09-05,Wednesday 11 AM–6 PM  2023-09-06,Thursday 11 AM–6 PM  2023-09-07,Friday 11 AM–6 PM  2023-09-08,Saturday 12–5 PM  2023-09-09,Sunday Closed  2023-09-10,,,,,,,
