Keyword,Name,Header_image,Rating,Rating_count,Price_range,Category,Detail_URL,Tags,Address,Located_in,Current_status,Next_status,Scraped_at,Open_hours,Latitude,Longitude,Plus_code,Website,Phone,Review_keyword1,Review_keyword2,Review_keyword3,Review_keyword4,Review_keyword5,Review_keyword6,Review_keyword7,Review_keyword8,Review_keyword9,Review_keyword10
Nashville - guitar repair,Glaser Instruments,https://lh5.googleusercontent.com/p/AF1QipOt0yfyAmN2MAcZAD7NxCspdCR2WM1UnPpZtDLj=w408-h306-k-no,4.8,98,,חנות לתיקון כלי נגינה,https://www.google.com/maps/place/Glaser+Instruments/data=!4m7!3m6!1s0x886465c1e9908a27:0x63584155e18e7e58!8m2!3d36.1150694!4d-86.7627098!16s%2Fg%2F1tfq5c_l!19sChIJJ4qQ6cFlZIgRWH6O4VVBWGM?authuser=0&hl=iw&rclk=1," 
""As a last hope, I drove to Nashville to see if Glaser could do anything ...""","434 E Iris Dr, Nashville, TN 37204, ארצות הברית",,המקום סגור,ייפתח ביום יום ב׳ בשעה 9:30,2023-09-03 22:30:44,יום ראשוןסגוריום שני(יום העבודה)9:30–17:30 ייתכנו שינויים בשעותיום שלישי9:30–17:30יום רביעי9:30–17:30יום חמישי9:30–17:30יום שישי9:30–17:30יום שבתסגור,36.1150694,-86.7627098,"468P+2W נשוויל, טנסי, ארצות הברית",,+1 615-298-1139,,,,,,,,,,
Nashville - guitar repair,Modman Guitar,https://lh5.googleusercontent.com/p/AF1QipNXsgWYur85MrMl7Ux2M7hC1x6HSfhXJdBZ4ocs=w426-h240-k-no,5.0,66,,חנות לתיקון כלי נגינה,https://www.google.com/maps/place/Modman+Guitar/data=!4m7!3m6!1s0x8864616bcb638257:0xb48cd66f0cb11928!8m2!3d36.1618336!4d-86.8494989!16s%2Fg%2F1pp2vj4jd!19sChIJV4Jjy2thZIgRKBmxDG_WjLQ?authuser=0&hl=iw&rclk=1," 
""The Best Guitar luthier in Nashville..""","1319B 51st Ave N, Nashville, TN 37209, ארצות הברית",,המקום סגור,ייפתח ביום יום ב׳ בשעה 10:00,2023-09-03 22:30:48,יום ראשוןסגוריום שני(יום העבודה)10:00–17:00 ייתכנו שינויים בשעותיום שלישי10:00–17:00יום רביעי10:00–17:00יום חמישי10:00–17:00יום שישי10:00–17:00יום שבתסגור,36.1618336,-86.8494989,"5562+P6 נשוויל, טנסי, ארצות הברית",http://www.modmanguitar.com/,+1 615-397-5334,,,,,,,,,,
Nashville - guitar repair,Harpeth Guitar Restoration - By Appointment Only,https://lh5.googleusercontent.com/p/AF1QipM3FhiNZJJ-_7YqER_e0MyKoCfEYvr1_dOXFew=w408-h544-k-no,5.0,61,,חנות לתיקון כלי נגינה,https://www.google.com/maps/place/Harpeth+Guitar+Restoration+-+By+Appointment+Only/data=!4m7!3m6!1s0x88648976bd0e3ce3:0x4ef4f2c5d159bd51!8m2!3d36.1173416!4d-86.9260016!16s%2Fg%2F11fkdvm7j1!19sChIJ4zwOvXaJZIgRUb1Z0cXy9E4?authuser=0&hl=iw&rclk=1," 
""Hands down the best luthier in Nashville! Meticulous craftsmanship.""","7449 Sawyer Brown Rd, Nashville, TN 37209, ארצות הברית",,,,2023-09-03 22:30:52,,36.1173416,-86.9260016,"438F+WH נשוויל, טנסי, ארצות הברית",http://harpethguitar.com/,,,,,,,,,,,
Nashville - guitar repair,Classic Ax,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nDQOMze7q2PEidJvYE4fog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=128.2162&pitch=0&thumbfov=100,5.0,34,,חנות לתיקון כלי נגינה,https://www.google.com/maps/place/Classic+Ax/data=!4m7!3m6!1s0x88646690055c038b:0xedac609875bc660!8m2!3d36.1619668!4d-86.6636661!16s%2Fg%2F11h6nzhv0z!19sChIJiwNcBZBmZIgRYMZbhwnG2g4?authuser=0&hl=iw&rclk=1," 
""One of the best in Nashville!!""","211 Donelson Pike Suite 4, Nashville, TN 37214, ארצות הברית",נמצא בתוך: Cameron Park,המקום סגור,ייפתח ביום יום ב׳ בשעה 10:00,2023-09-03 22:30:56,יום ראשוןסגוריום שני(יום העבודה)10:00–18:00 ייתכנו שינויים בשעותיום שלישי10:00–18:00יום רביעי10:00–18:00יום חמישי10:00–18:00יום שישי10:00–18:00יום שבתסגור,36.1619668,-86.6636661,"586P+QG נשוויל, טנסי, ארצות הברית",http://www.classicax.com/,+1 615-254-8058,,,,,,,,,,
Nashville - guitar repair,Acreman Guitars,https://lh5.googleusercontent.com/p/AF1QipPlnzl5dkbHyYc-r8g6ZcljDbtOazx1ayB_o1RB=w408-h544-k-no,4.8,23,,חנות גיטרות,https://www.google.com/maps/place/Acreman+Guitars/data=!4m7!3m6!1s0x886467a888f2dfcf:0xc64dc19236527d09!8m2!3d36.1820385!4d-86.7903713!16s%2Fg%2F1q62fhsq6!19sChIJz9_yiKhnZIgRCX1SNpLBTcY?authuser=0&hl=iw&rclk=1," 
""I drove some miles to have me guitar setup and it was well worth the ...""","1606 4th Ave N, Nashville, TN 37208, ארצות הברית",,המקום סגור,ייפתח ביום יום ב׳ בשעה 10:00,2023-09-03 22:30:59,יום ראשוןסגוריום שני(יום העבודה)10:00–18:00 ייתכנו שינויים בשעותיום שלישי10:00–18:00יום רביעי10:00–18:00יום חמישי10:00–18:00יום שישי11:00–16:00יום שבתסגור,36.1820385,-86.7903713,"56J5+RV נשוויל, טנסי, ארצות הברית",http://www.acremanguitars.com/,+1 615-714-5593,,,,,,,,,,
Nashville - guitar repair,"Nashville Amplifier Service, LLC",https://lh5.googleusercontent.com/p/AF1QipMNpa3YPm0mxj9IOHQbwE-dcHhzbGNWhJ2a5TyO=w408-h495-k-no,4.7,35,,חנות לתיקון כלי נגינה,"https://www.google.com/maps/place/Nashville+Amplifier+Service,+LLC/data=!4m7!3m6!1s0x886465f17dde34cf:0x92acb6547ef158e9!8m2!3d36.1160694!4d-86.7489861!16s%2Fg%2F11cn6cq8qb!19sChIJzzTeffFlZIgR6VjxflS2rJI?authuser=0&hl=iw&rclk=1",,"2616 Grandview Ave, Nashville, TN 37211, ארצות הברית",,המקום סגור,ייפתח ביום יום ב׳ בשעה 10:00,2023-09-03 22:31:03,יום ראשוןסגוריום שני(יום העבודה)10:00–18:00 ייתכנו שינויים בשעותיום שלישי10:00–18:00יום רביעי10:00–18:00יום חמישי10:00–18:00יום שישי10:00–18:00יום שבתסגור,36.1160694,-86.7489861,"4782+CC נשוויל, טנסי, ארצות הברית",https://www.amprepair.com/,+1 615-750-5726,,,,,,,,,,
Nashville - guitar repair,Bandwagon Music & Repair,https://lh5.googleusercontent.com/p/AF1QipPJ1T-ViG6lW3ez90GzrTeGBMxoQXp47y3BKwvT=w408-h270-k-no,4.9,147,,חנות מוזיקה,https://www.google.com/maps/place/Bandwagon+Music+%26+Repair/data=!4m7!3m6!1s0x886488f3cf40ee6d:0x8948ec81748804e4!8m2!3d36.0770225!4d-86.9493118!16s%2Fg%2F11c1q8qwyg!19sChIJbe5Az_OIZIgR5ASIdIHsSIk?authuser=0&hl=iw&rclk=1," 
""I've had a few guitars set up there and they did a great job!""","7639 Hwy 70 S, Nashville, TN 37221, ארצות הברית",,המקום סגור,ייפתח ביום יום ג׳ בשעה 10:00,2023-09-03 22:31:07,יום ראשוןסגוריום שני(יום העבודה)סגור שעות פתיחה בחגיום שלישי10:00–18:00יום רביעי10:00–18:00יום חמישי10:00–18:00יום שישי10:00–18:00יום שבת10:00–14:00,36.0770225,-86.9493118,"33G2+R7 נשוויל, טנסי, ארצות הברית",http://www.bandwagonmusicandrepair.com/,+1 615-721-2263,,,,,,,,,,
Nashville - guitar repair,Corner Music,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s7VS8KBIDTjzUET4vKk8IA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.47153&pitch=0&thumbfov=100,4.7,164,,חנות לכלי נגינה,https://www.google.com/maps/place/Corner+Music/data=!4m7!3m6!1s0x8864642fd9a2ae31:0x7c035f7516c7f329!8m2!3d36.2290731!4d-86.7603035!16s%2Fg%2F1td2_5qh!19sChIJMa6i2S9kZIgRKfPHFnVfA3w?authuser=0&hl=iw&rclk=1," 
קנייה בחנות
·
איסוף עצמי בחנות
·
משלוחים","3048 Dickerson Pike, Nashville, TN 37207, ארצות הברית",,המקום סגור,ייפתח ביום יום ב׳ בשעה 10:00,2023-09-03 22:31:11,יום ראשוןסגוריום שני(יום העבודה)10:00–18:00 ייתכנו שינויים בשעותיום שלישי10:00–18:00יום רביעי10:00–18:00יום חמישי10:00–18:00יום שישי10:00–18:00יום שבת10:00–17:00,36.2290731,-86.7603035,"66HQ+JV נשוויל, טנסי, ארצות הברית",https://cornermusic.com/cart,+1 615-297-9559,,,,,,,,,,
Nashville - guitar repair,"British Audio Service, Inc.",https://lh5.googleusercontent.com/p/AF1QipMNHZTJuErym4z9q-FKrsCuVt51Rwvhj_hIazhz=w408-h408-k-no,4.7,171,,חנות לתיקון כלי נגינה,"https://www.google.com/maps/place/British+Audio+Service,+Inc./data=!4m7!3m6!1s0x88646171f5c22ba9:0xa1e6cf9de14a9d8b!8m2!3d36.151062!4d-86.852986!16s%2Fg%2F1vxcx4cj!19sChIJqSvC9XFhZIgRi51K4Z3P5qE?authuser=0&hl=iw&rclk=1"," 
קנייה בחנות
·
איסוף מחוץ לחנות
·
משלוחים","5343 Charlotte Ave, Nashville, TN 37209, ארצות הברית",,המקום סגור,ייפתח ביום יום ג׳ בשעה 10:00,2023-09-03 22:31:15,יום ראשוןסגוריום שני(יום העבודה)סגור שעות פתיחה בחגיום שלישי10:00–16:00יום רביעיסגוריום חמישי10:00–16:00יום שישי10:00–16:00יום שבת10:00–16:00,36.151062,-86.852986,"542W+CR נשוויל, טנסי, ארצות הברית",http://www.britishaudio.com/,+1 615-891-1788,,,,,,,,,,
Nashville - guitar repair,Delgado Guitars,https://lh5.googleusercontent.com/p/AF1QipPExoJxTHgzjnO1fG7Fd2HSjLWJtf4Baa16kNA=w408-h544-k-no,5.0,61,,חנות לכלי נגינה,https://www.google.com/maps/place/Delgado+Guitars/data=!4m7!3m6!1s0x886467d9f973caa9:0xb71a5033df7e5fb9!8m2!3d36.1871016!4d-86.7456619!16s%2Fg%2F11b6hmh15p!19sChIJqcpz-dlnZIgRuV9-3zNQGrc?authuser=0&hl=iw&rclk=1," 
""This is the best setup I've had in Nashville.""","919 Gallatin Ave #10, Nashville, TN 37206, ארצות הברית",,המקום סגור,ייפתח ביום יום ג׳ בשעה 9:00,2023-09-03 22:31:18,יום ראשוןסגוריום שני(יום העבודה)סגור שעות פתיחה בחגיום שלישי9:00–17:00יום רביעי9:00–17:00יום חמישי9:00–17:00יום שישי9:00–17:00יום שבתסגור,36.1871016,-86.7456619,"57P3+RP נשוויל, טנסי, ארצות הברית",http://www.delgadoguitars.com/,+1 615-227-4578,,,,,,,,,,
